id,pmcid,%confidence
20359453,PMC4561533,99.93075816426298
20431716,PMC2860967,99.66126621172083
21051539,PMC3012971,98.05290780536161
20490603,not found,97.9734245630325
21683463,PMC4313881,97.58077012251208
20406913,PMC2879781,97.4384335698658
21212945,PMC3044236,91.05428403167521
21544166,PMC3082856,90.76906521280371
21219452,PMC4561535,89.67456000250763
19774110,PMC2748470,82.1216409183528
19553672,PMC2757170,81.26994199805479
21326935,PMC3026450,77.48114858225348
20057068,PMC2805534,76.79012057565804
20394371,PMC2866150,64.00422779414548
21324176,PMC3051899,58.43251483032442
19454530,PMC2843956,57.51039013855822
20668243,PMC2930436,52.228182673824485
20613792,PMC3105668,50.515008397534466
20497336,PMC2911477,50.013775034228516
20830443,PMC3114946,48.802852940816
20559485,PMC2885077,42.9221650587264
19450243,PMC2694162,37.003991834470646
20971878,PMC3008241,36.89374642116229
21389112,PMC3084680,32.38733669535128
20944224,PMC2954218,29.107059568454375
20061575,PMC2856279,28.459473911723787
21291533,PMC3047435,26.360629981979024
20421457,PMC2879796,25.24410444538766
19723300,PMC2746802,20.807519539363515
20978012,PMC3033747,20.12645555607407
20519506,PMC2911314,19.777347109107055
21241472,PMC3032700,19.321210103518098
21655220,PMC3105075,18.496370995199
21365277,not found,14.180193140201894
19940244,PMC2795531,12.408251460394574
20084296,PMC2805709,12.33370857109881
21515584,PMC3272405,12.281154280793087
20202206,PMC2838879,7.173995379895497
20876108,PMC2955110,6.916042857849894
19403529,PMC2709373,6.211277822213654
21672225,PMC3130646,6.1640104943547644
20580724,PMC2975065,5.424968279311267
20396401,PMC2854817,5.4185205538557355
19493971,PMC2719112,4.73428476500096
21659486,PMC3111232,4.568310871482232
21092203,PMC3003633,4.3327251820025605
19321416,PMC2660063,4.071933431545412
20602336,PMC3050522,3.7477002301412807
21358590,PMC6259741,3.5886659890644808
20400566,PMC2876446,3.4991174043807076
20066263,PMC2822703,3.1658938989399013
20973991,PMC3091745,3.0674076373641364
20885794,PMC2944797,2.6590402933161013
21045059,PMC3013676,2.4975368273986063
21441506,PMC3133124,2.4428103065187137
21441588,PMC3062213,2.4312652342826717
21685158,PMC3147463,2.4227812042180474
20944220,PMC2954214,2.4051344406139705
20410291,PMC2885245,2.3293879907933657
18838391,PMC2686590,2.0007876624684937
20735824,PMC2939539,1.9641391101098242
21057783,not found,1.868304005796733
20421458,PMC2879814,1.8139790755485872
19748469,PMC2895552,1.6456486510127617
20814577,PMC2930009,1.6351356104094144
21111227,PMC3008369,1.6005534523604603
20209062,PMC2832021,1.553681396026897
20584338,PMC2907334,1.4039611668214647
19525415,PMC2714936,1.3526648615106907
21030587,PMC3009860,1.3361770142630527
20427466,PMC2879803,1.263217605867516
20444704,PMC2903421,1.2460180740474944
20626842,PMC2926784,1.2365765761096668
21483735,PMC3070697,1.2279484363666635
21596990,PMC3303602,1.2263470794662863
19376920,PMC2698378,1.2245830453903495
20368178,PMC2894525,1.177337772048157
20506386,PMC2974821,1.1422360257822957
21697508,PMC3149947,1.0608079474383723
19914348,PMC2873859,0.987573891109321
20705453,PMC2974045,0.9753362223018338
20920201,PMC2997016,0.924136842802593
20678238,PMC2924342,0.8293678837838954
20976183,PMC2956484,0.80421884710799
20363958,PMC2867707,0.6795937917833559
20364395,PMC2912727,0.6597663498841289
21536894,PMC3107277,0.6418720892656171
21300919,PMC3091093,0.43825085754531307
21611157,PMC3096672,0.4316546184752511
20962874,PMC3105739,0.39973121715991977
21685260,PMC3160020,0.31367876827489416
21525223,PMC3147823,0.3118028187795794
21695235,PMC3111534,0.28832543721586695
20466768,PMC3068689,0.27340250682372996
19575556,PMC2880894,0.20853962931432235
21362161,PMC3059304,0.17693025308157026
20381499,PMC2896236,0.1074956576207532
21592771,PMC3163058,0.10537440422795102
21255355,PMC3815771,0.09519693835642766
20961426,PMC3091735,0.024436929965332192
